Predictor,Coefficient,Std Error,t-Statistic,p-value,CI Lower,CI Upper,Decision,Result
Num_Items_Ordered,0.8035,0.0155,51.7233,0.0,0.773,0.834,Reject H0 ✓,Significant
Warehouse_Distance_m,0.0486,0.0026,18.3894,0.0,0.0434,0.0538,Reject H0 ✓,Significant
Num_Workers_Available,-1.2344,0.0401,-30.7579,0.0,-1.3132,-1.1556,Reject H0 ✓,Significant
Order_Weight_kg,0.1521,0.0076,20.0588,0.0,0.1372,0.1669,Reject H0 ✓,Significant
Hour_of_Day,0.261,0.0319,8.1705,0.0,0.1983,0.3236,Reject H0 ✓,Significant
Num_Pending_Orders,0.4014,0.0076,53.0699,0.0,0.3865,0.4162,Reject H0 ✓,Significant
Packing_Complexity_Score,2.0198,0.0747,27.0239,0.0,1.8731,2.1666,Reject H0 ✓,Significant
Equipment_Downtime_min,0.5825,0.0247,23.5999,0.0,0.5341,0.631,Reject H0 ✓,Significant
